age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
0-100,*,129311,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,95, United-States, >50k
0-100,*,200968,Educated,1-12,Married, Adm-clerical, Other-relative,Occident,Male,0,0,45, United-States, >50k
0-100,*,209642,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,45, United-States, >50k
0-100,*,407495,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,56, United-States, >50k
0-100,*,119033,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,192838,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,170603,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,59951,Educated,1-12,Married, Adm-clerical, Own-child,Occident,Male,0,0,40, United-States, <=50k
0-100,*,122086,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,51579,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,33068,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,265477,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,28996,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,180419,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,254949,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,225964,Educated,1-12,Married, Sales, Not-in-family,Occident,Male,0,0,8, United-States, <=50k
0-100,*,101603,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,35330,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,42, United-States, <=50k
0-100,*,176280,Educated,1-12,Married, Other-service, Not-in-family,Occident,Male,0,0,50, United-States, <=50k
0-100,*,40767,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,109832,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,60, United-States, <=50k
0-100,*,191681,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,125927,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,39630,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,188571,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,268234,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,175769,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,65, United-States, >50k
0-100,*,190747,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,249368,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,70, United-States, <=50k
0-100,*,156890,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,170721,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,2002,40, United-States, <=50k
0-100,*,214323,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,317660,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,7688,0,40, United-States, >50k
0-100,*,201127,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,0,56, United-States, >50k
0-100,*,335605,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,1887,50, Canada, >50k
